GID_0,fueltype,CO2,CH4,N2O,units are tCO2e/ton (and tCO2e/MWh for electricity),,,,,,,
COM,Gas,3.724875000,0.156897000,0.002457000,,,,,,,,
COM,Imp_biomass,1.520808000,0.276782400,0.000000000,,,,,,,,
COM,Imp_charcoal,5.846121255,2.591717346,0.106470000,,,,,,,,
COM,Kerosene,3.436973230,0.136712566,0.001655199,,,,,,,,
COM,Pellets,0.000000000,0.046204960,0.007098000,,,,,,,,
CRI,biogas,0.000000000,1.817949000,0.025935000,,,,,,,,
CRI,Biomass,1.520808000,0.250776000,0.000000000,,,,,,,,
CRI,Charcoal,5.846121255,2.348200280,0.106470000,,,,,,,,
CRI,Coal,2.023271360,0.247963654,0.000000000,,,,,,,,
CRI,Electricity,0.043100481,0.000000000,0.000000000,,,,,,,,
CRI,Ethanol,0.000000000,0.491610600,0.346437000,,,,,,,,
CRI,Gas,3.724875000,0.156897000,0.002457000,,,,,,,,
CRI,Imp_biomass,1.520808000,0.276782400,0.000000000,,,,,,,,
CRI,Imp_charcoal,5.846121255,2.591717346,0.106470000,,,,,,,,
CRI,Kerosene,3.436973230,0.136712566,0.001655199,,,,,,,,
CRI,Pellets,0.000000000,0.046204960,0.007098000,,,,,,,,
DJI,biogas,0.000000000,1.817949000,0.025935000,,,,,,,,
DJI,Biomass,1.520808000,0.250776000,0.000000000,,,,,,,,
DJI,Charcoal,5.846121255,2.348200280,0.106470000,,,,,,,,
DJI,Coal,2.023271360,0.247963654,0.000000000,,,,,,,,
DJI,Electricity,0.643035599,0.000000000,0.000000000,,,,,,,,
DJI,Ethanol,0.000000000,0.491610600,0.346437000,,,,,,,,
DJI,Gas,3.724875000,0.156897000,0.002457000,,,,,,,,
DJI,Imp_biomass,1.520808000,0.276782400,0.000000000,,,,,,,,
DJI,Imp_charcoal,5.846121255,2.591717346,0.106470000,,,,,,,,
DJI,Kerosene,3.436973230,0.136712566,0.001655199,,,,,,,,
DJI,Pellets,0.000000000,0.046204960,0.007098000,,,,,,,,
DOM,biogas,0.000000000,1.817949000,0.025935000,,,,,,,,
DOM,Biomass,1.520808000,0.250776000,0.000000000,,,,,,,,
DOM,Charcoal,5.846121255,2.348200280,0.106470000,,,,,,,,
DOM,Coal,2.023271360,0.247963654,0.000000000,,,,,,,,
DOM,Electricity,0.478127900,0.037135481,0.002355139,,,,,,,,
DOM,Ethanol,0.000000000,0.491610600,0.346437000,,,,,,,,
DOM,Gas,3.724875000,0.156897000,0.002457000,,,,,,,,
DOM,Imp_biomass,1.520808000,0.276782400,0.000000000,,,,,,,,
DOM,Imp_charcoal,5.846121255,2.591717346,0.106470000,,,,,,,,
DOM,Kerosene,3.436973230,0.136712566,0.001655199,,,,,,,,
