GID_0,fueltype,CO2,CH4,N2O,units are tCO2e/ton (and tCO2e/MWh for electricity)
LSO,Biomass,1.7472,0.12636,0.0170352,
LSO,Charcoal,6.20812564,2.568355768,0.10647,
LSO,Coal,2.45212,0.28100208,0.0105651,
LSO,Electricity,0,0.020819527,0.001324384,
LSO,Ethanol,0,0.4919086,0.346437,
LSO,Gas,3.724875,0.156897,0.002457,
LSO,Imp_biomass,1.520808,0.2767824,0,
LSO,Imp_charcoal,6.20812564,2.834703773,0.10647,
LSO,Kerosene,3.5362415,0.127257324,0.121229199,
LSO,Pellets,0,0.04543016,0.006552,
MDG,biogas,0,1.825610312,0.001513812,
MDG,Biomass,1.7472,0.12636,0.0170352,
MDG,Charcoal,6.20812564,2.568355768,0.10647,
MDG,Coal,2.45212,0.28100208,0.0105651,
MDG,Electricity,0.634029204,0.020819527,0.001324384,
MDG,Ethanol,0,0.4919086,0.346437,
MDG,Gas,3.724875,0.156897,0.002457,
MDG,Imp_biomass,1.520808,0.2767824,0,
MDG,Imp_charcoal,6.20812564,2.834703773,0.10647,
MDG,Kerosene,3.5362415,0.127257324,0.121229199,
MDG,Pellets,0,0.04543016,0.006552,
MDV,biogas,0,1.825610312,0.001513812,
MDV,Biomass,1.7472,0.12636,0.0170352,
MDV,Charcoal,6.20812564,2.568355768,0.10647,
MDV,Coal,2.45212,0.28100208,0.0105651,
MDV,Electricity,0.623251709,0,0,
MDV,Ethanol,0,0.4919086,0.346437,
MDV,Gas,3.724875,0.156897,0.002457,
MDV,Imp_biomass,1.520808,0.2767824,0,
MDV,Imp_charcoal,6.20812564,2.834703773,0.10647,
MDV,Kerosene,3.5362415,0.127257324,0.121229199,
MDV,Pellets,0,0.04543016,0.006552,
MEX,biogas,0,1.825610312,0.001513812,
MEX,Biomass,1.7472,0.12636,0.0170352,
MEX,Charcoal,6.20812564,2.568355768,0.10647,
MEX,Coal,2.45212,0.28100208,0.0105651,
MEX,Electricity,0.407639864,0.035037034,0.001950387,
MEX,Ethanol,0,0.4919086,0.346437,
MEX,Gas,3.724875,0.156897,0.002457,
MEX,Imp_biomass,1.520808,0.2767824,0,
MEX,Imp_charcoal,6.20812564,2.834703773,0.10647,
MEX,Kerosene,3.5362415,0.127257324,0.121229199,
MEX,Pellets,0,0.04543016,0.006552,
MLI,biogas,0,1.825610312,0.001513812,
MLI,Biomass,1.7472,0.12636,0.0170352,
MLI,Charcoal,6.20812564,2.568355768,0.10647,
MLI,Coal,2.45212,0.28100208,0.0105651,
MLI,Electricity,0.696560167,0.020819527,0.001324384,
MLI,Ethanol,0,0.4919086,0.346437,
MLI,Gas,3.724875,0.156897,0.002457,
MLI,Imp_biomass,1.520808,0.2767824,0,
MLI,Imp_charcoal,6.20812564,2.834703773,0.10647,
MLI,Kerosene,3.5362415,0.127257324,0.121229199,
MLI,Pellets,0,0.04543016,0.006552,
MNG,biogas,0,1.825610312,0.001513812,
MNG,Biomass,1.7472,0.12636,0.0170352,
MNG,Charcoal,6.20812564,2.568355768,0.10647,
MNG,Coal,2.45212,0.28100208,0.0105651,
MNG,Electricity,1.149746598,0.074082955,0.005984834,
MNG,Ethanol,0,0.4919086,0.346437,
MNG,Gas,3.724875,0.156897,0.002457,
MNG,Imp_biomass,1.520808,0.2767824,0,
MNG,Imp_charcoal,6.20812564,2.834703773,0.10647,
MNG,Kerosene,3.5362415,0.127257324,0.121229199,
MNG,Pellets,0,0.04543016,0.006552,
MOZ,biogas,0,1.825610312,0.001513812,
MOZ,Biomass,1.7472,0.12636,0.0170352,
MOZ,Charcoal,6.20812564,2.568355768,0.10647,
MOZ,Coal,2.45212,0.28100208,0.0105651,
MOZ,Electricity,0.127089302,0.005232997,0.000243019,
