iso3;country;region;area;fuel;year;fuel_tons1;fuel_tons2;fuel_tons3;;Includes corrections of previous error in charcoal demand;;;;;Residential fuel mass in Mton (GWh for elec);;;;;;;;;;;;;;;;Plots for presentation;;;;;;;;;
MWI;Malawi;ssa;Urban;charcoal;2012;4571300;5051287;1;;;;;;;of total;15%;14%;14%;13%;13%;13%;12%;12%;12%;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;charcoal;2013;4896264;5410372;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;charcoal;2014;5239883;5790071;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;charcoal;2015;5603263;6191606;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;charcoal;2016;5987335;6616005;1;;;;;;CORRECTED;fuelwood;9.9;10.7;11.4;11.9;11.7;11.1;10.1;8.7;6.8;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;charcoal;2017;6392846;7064095;1;;;;;;;Charcoal;4.5;7.3;11.0;15.7;21.8;28.9;37.0;46.0;56.0;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;charcoal;2018;6820540;7536696;1;;;;;;;Imp_fuelwood;0.0;0.0;0.0;0.1;0.1;0.2;0.3;0.5;0.6;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;charcoal;2019;7271057;8034518;1;;;;;;;Imp_charcoal;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.1;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;charcoal;2020;7745034;8558263;1;;;;;;;;14.4;18.0;22.5;27.7;33.7;40.3;47.5;55.2;63.5;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;charcoal;2021;8243205;9108741;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;charcoal;2022;8766299;9686760;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;charcoal;2023;9314874;10292936;1;;;;;;UNCORRECTED;fuelwood;9.9;10.7;11.4;11.9;11.7;11.1;10.1;8.7;6.8;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;charcoal;2024;9889400;10927787;1;;;;;;;Charcoal;3.3;5.3;8.0;11.4;15.8;21.0;26.9;33.4;40.7;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;charcoal;2025;10396835;11488503;1;;;;;;;Imp_fuelwood;0.0;0.0;0.0;0.1;0.1;0.2;0.2;0.3;0.4;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;charcoal;2026;10923365;12070318;1;;;;;;;Imp_charcoal;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;charcoal;2027;11469128;12673386;1;;;;;;;;13.1;16.0;19.4;23.4;27.7;32.3;37.2;42.5;48.0;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;charcoal;2028;12034096;13297676;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;charcoal;2029;12618142;13943047;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;charcoal;2030;13221130;14609349;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;charcoal;2031;13842914;15296419;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;charcoal;2032;14483338;16004088;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;charcoal;2033;15142063;16731980;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;charcoal;2034;15818348;17479274;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;charcoal;2035;16516826;18251093;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;charcoal;2036;17236961;19046842;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;charcoal;2037;17979002;19866797;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;charcoal;2038;18743319;20711368;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;charcoal;2039;19530327;21581011;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;charcoal;2040;20340397;22476138;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;charcoal;2041;21173783;23397030;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;charcoal;2042;22030686;24343908;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;charcoal;2043;22911342;25317033;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
