Key*,LULC,rmax,rmaxSD,K,KSD,TOF
254,LATAM_Subtropical dry forest_Grasslands,0.09,0.08,185,28,0
255,LATAM_Subtropical dry forest_Permanent Wetlands,0,0,44,22,1
256,LATAM_Subtropical dry forest_Permanent Snow and Ice,0,0,1,1,1
257,LATAM_Subtropical dry forest_Barren,0,0,17,17,1
258,LATAM_Subtropical dry forest_Water Bodies,0,0,24,1,1
259,LATAM_Subtropical steppe_Evergreen Needleleaf Forests,0.21,0.19,75,0,0
260,LATAM_Subtropical steppe_Evergreen Broadleaf Forests,0.18,0.16,90,7,0
261,LATAM_Subtropical steppe_Deciduous Broadleaf Forests,0.2,0.18,80,6,0
262,LATAM_Subtropical steppe_Mixed Forests,0.19,0.17,85,5,0
263,LATAM_Subtropical steppe_Closed Shrublands,0.3,0.27,53,7,0
264,LATAM_Subtropical steppe_Open Shrublands,1.07,0.96,15,11,0
265,LATAM_Subtropical steppe_Woody Savannas,0.19,0.17,83,7,0
266,LATAM_Subtropical steppe_Savannas,0.27,0.24,59,8,0
267,LATAM_Subtropical steppe_Grasslands,0.64,0.58,25,11,0
268,LATAM_Subtropical steppe_Permanent Wetlands,0.21,0.19,75,13,0
269,LATAM_Subtropical steppe_Croplands,0.53,0.48,30,10,0
270,LATAM_Subtropical steppe_Urban and Built-up Lands,0,0,4,7,1
271,LATAM_Subtropical steppe_Cropland/Natural Vegetation Mosaics,0.43,0.39,37,2,0
272,LATAM_Subtropical steppe_Barren,0,0,1,1,1
273,LATAM_Subtropical steppe_Water Bodies,0,0,3,5,1
274,LATAM_Subtropical desert_Evergreen Needleleaf Forests,0,0,47,19,1
275,LATAM_Subtropical desert_Evergreen Broadleaf Forests,0,0,55,13,1
276,LATAM_Subtropical desert_Deciduous Broadleaf Forests,0,0,57,14,1
277,LATAM_Subtropical desert_Mixed Forests,0,0,52,10,1
278,LATAM_Subtropical desert_Closed Shrublands,0,0,15,14,1
279,LATAM_Subtropical desert_Open Shrublands,0,0,2,4,1
280,LATAM_Subtropical desert_Woody Savannas,0,0,45,17,1
281,LATAM_Subtropical desert_Savannas,0,0,13,15,1
282,LATAM_Subtropical desert_Grasslands,0,0,3,6,1
283,LATAM_Subtropical desert_Permanent Wetlands,0,0,10,8,1
284,LATAM_Subtropical desert_Croplands,0,0,4,3,1
285,LATAM_Subtropical desert_Urban and Built-up Lands,0,0,2,3,1
286,LATAM_Subtropical desert_Permanent Snow and Ice,0,0,1,1,1
287,LATAM_Subtropical desert_Barren,0,0,1,1,1
288,LATAM_Subtropical desert_Water Bodies,0,0,3,5,1
289,LATAM_Subtropical mountain system_Evergreen Needleleaf Forests,0.05,0.05,190,41,0
290,LATAM_Subtropical mountain system_Evergreen Broadleaf Forests,0.08,0.08,118,8,0
291,LATAM_Subtropical mountain system_Deciduous Broadleaf Forests,0.1,0.09,99,8,0
292,LATAM_Subtropical mountain system_Mixed Forests,0.04,0.04,241,29,0
293,LATAM_Subtropical mountain system_Closed Shrublands,0.15,0.13,68,12,0
294,LATAM_Subtropical mountain system_Open Shrublands,0.29,0.26,35,13,0
295,LATAM_Subtropical mountain system_Woody Savannas,0.09,0.08,106,15,0
296,LATAM_Subtropical mountain system_Savannas,0.12,0.11,82,21,0
297,LATAM_Subtropical mountain system_Grasslands,0.15,0.13,67,30,0
298,LATAM_Subtropical mountain system_Permanent Wetlands,0.09,0.08,116,27,0
299,LATAM_Subtropical mountain system_Croplands,0.2,0.18,51,14,0
300,LATAM_Subtropical mountain system_Urban and Built-up Lands,0,0,4,8,1
301,LATAM_Subtropical mountain system_Cropland/Natural Vegetation Mosaics,0.15,0.14,66,11,0
302,LATAM_Subtropical mountain system_Permanent Snow and Ice,0,0,1,0,1
303,LATAM_Subtropical mountain system_Barren,0,0,1,5,1
304,LATAM_Subtropical mountain system_Water Bodies,0,0,31,43,1
305,LATAM_Temperate oceanic forest_Evergreen Needleleaf Forests,0.08,0.01,258,16,0
306,LATAM_Temperate oceanic forest_Evergreen Broadleaf Forests,0.09,0.02,222,5,0
307,LATAM_Temperate oceanic forest_Deciduous Broadleaf Forests,0.08,0.01,257,16,0
308,LATAM_Temperate oceanic forest_Mixed Forests,0.08,0.01,263,15,0
309,LATAM_Temperate oceanic forest_Closed Shrublands,0.11,0.02,184,16,0
