Key*,LULC,rmax,rmaxSD,K,KSD,TOF
257,LATAM_Subtropical dry forest_Agriculture,0.5,0.45,32,0,0
258,LATAM_Subtropical dry forest_Bare sparse vegetation,0,0,0.105,0.0525,1
259,LATAM_Subtropical dry forest_Snow and ice,0,0,0,0,1
260,LATAM_Subtropical dry forest_Permanent water bodies,0,0,10,10,1
261,LATAM_Subtropical dry forest_Closed forest evergreen broad leaf,0.11,0.1,140,10,0
262,LATAM_Subtropical dry forest_Closed forest deciduous broad leaf,0.16,0.14,102,0,0
263,LATAM_Subtropical dry forest_Closed forest undefined,0.15,0.13,110,0,0
264,LATAM_Subtropical dry forest_Open forest evergreen broad leaf,0.47,0.42,34,0,0
265,LATAM_Subtropical dry forest_Open forest undefined,0.37,0.33,43,0,0
266,LATAM_Subtropical steppe_Shrubs,0.94,0.85,17,9,0
267,LATAM_Subtropical steppe_Herbaceous vegetation,0.89,0.8,18,9,0
268,LATAM_Subtropical steppe_Agriculture,0.76,0.69,21,6,0
269,LATAM_Subtropical steppe_Urban built up,0,0,2,2,1
270,LATAM_Subtropical steppe_Bare sparse vegetation,0,0,0.0355,0.0177,1
271,LATAM_Subtropical steppe_Permanent water bodies,0,0,10,10,1
272,LATAM_Subtropical steppe_Herbaceous wetland,0.57,0.51,28,30,0
273,LATAM_Subtropical steppe_Closed forest evergreen needle leaf,0.21,0.19,76,10,0
274,LATAM_Subtropical steppe_Closed forest evergreen broad leaf,0.13,0.12,125,10,0
275,LATAM_Subtropical steppe_Closed forest deciduous broad leaf,0.15,0.14,104,5,0
276,LATAM_Subtropical steppe_Closed forest mixed,0.14,0.12,118,9,0
277,LATAM_Subtropical steppe_Closed forest undefined,0.2,0.18,82,9,0
278,LATAM_Subtropical steppe_Open forest evergreen needle leaf,0.33,0.29,49,8,0
279,LATAM_Subtropical steppe_Open forest evergreen broad leaf,0.19,0.17,84,6,0
280,LATAM_Subtropical steppe_Open forest deciduous broad leaf,0.29,0.26,56,14,0
281,LATAM_Subtropical steppe_Open forest mixed,0.38,0.34,42,7,0
282,LATAM_Subtropical steppe_Open forest undefined,0.32,0.29,50,13,0
283,LATAM_Subtropical steppe_Oceans seas,0,0,10,10,1
284,LATAM_Subtropical desert_Shrubs,0.02,0.01,21,12,0
285,LATAM_Subtropical desert_Herbaceous vegetation,0.02,0.01,15,5,0
286,LATAM_Subtropical desert_Agriculture,0.02,0.01,15,4,0
287,LATAM_Subtropical desert_Urban built up,0,0,2,2,1
288,LATAM_Subtropical desert_Bare sparse vegetation,0,0,0.0166,0.0083,1
289,LATAM_Subtropical desert_Permanent water bodies,0,0,10,10,1
290,LATAM_Subtropical desert_Herbaceous wetland,0.02,0.01,45,13,0
