Key*,LULC,rmax,rmaxSD,K,KSD,TOF
342,LATAM_Temperate steppe_Herbaceous wetland,0,0,18,31,1
343,LATAM_Temperate steppe_Closed forest evergreen broad leaf,0.02,0,247,21,0
344,LATAM_Temperate steppe_Closed forest deciduous broad leaf,0.03,0,197,11,0
345,LATAM_Temperate steppe_Closed forest undefined,0.03,0,195,15,0
346,LATAM_Temperate steppe_Open forest evergreen broad leaf,0,0,163,1,1
347,LATAM_Temperate steppe_Open forest deciduous broad leaf,0.06,0,103,11,0
348,LATAM_Temperate steppe_Open forest undefined,0.03,0,170,18,0
349,LATAM_Temperate steppe_Oceans seas,0,0,2,2,1
350,LATAM_Temperate mountain system_Shrubs,0.05,0,165,18,0
351,LATAM_Temperate mountain system_Herbaceous vegetation,0,0,45,55,1
352,LATAM_Temperate mountain system_Agriculture,0,0,80,50,1
353,LATAM_Temperate mountain system_Urban built up,0,0,109,36,1
354,LATAM_Temperate mountain system_Bare sparse vegetation,0,0,21,38,1
355,LATAM_Temperate mountain system_Snow and ice,0,0,24,33,1
356,LATAM_Temperate mountain system_Permanent water bodies,0,0,72,63,1
357,LATAM_Temperate mountain system_Herbaceous wetland,0,0,103,46,1
358,LATAM_Temperate mountain system_Closed forest evergreen broad leaf,0.03,0,257,13,0
359,LATAM_Temperate mountain system_Closed forest deciduous broad leaf,0.03,0,244,21,0
360,LATAM_Temperate mountain system_Closed forest mixed,0.03,0,286,10,0
361,LATAM_Temperate mountain system_Closed forest undefined,0.04,0,221,19,0
362,LATAM_Temperate mountain system_Open forest deciduous broad leaf,0,0,92,33,1
363,LATAM_Temperate mountain system_Open forest undefined,0.04,0,202,22,0
364,LATAM_Temperate mountain system_Oceans seas,0,0,191,1,1
365,LATAM_Water_Shrubs,0,0,41,31,1
366,LATAM_Water_Herbaceous vegetation,0,0,42,37,1
367,LATAM_Water_Agriculture,0,0,31,27,1
368,LATAM_Water_Urban built up,0,0,15,18,1
369,LATAM_Water_Permanent water bodies,0,0,27,27,1
370,LATAM_Water_Herbaceous wetland,0,0,21,25,1
371,LATAM_Water_Closed forest evergreen broad leaf,0,0,90,35,1
372,LATAM_Water_Closed forest undefined,0,0,62,23,1
